17411*2^250146-1 is not prime.  LLR Res64: 5DB516E4F7CF914B  Time : 61.304 sec.
20533*2^250155-1 is not prime.  LLR Res64: 86565ADCBE96C319  Time : 61.769 sec.
18607*2^250157-1 is not prime.  LLR Res64: ACB0DBB9E0889DEC  Time : 61.445 sec.
25747*2^250157-1 is not prime.  LLR Res64: 21E520092B8A8DCB  Time : 61.500 sec.
32383*2^250159-1 is not prime.  LLR Res64: 8CF8509FACAF69B1  Time : 61.444 sec.
20017*2^250161-1 is not prime.  LLR Res64: FC86F4105590ED96  Time : 61.463 sec.
22927*2^250165-1 is not prime.  LLR Res64: 4CBEEE92D3DE13B9  Time : 61.466 sec.
25183*2^250167-1 is not prime.  LLR Res64: A911C33EC1EEFD56  Time : 61.297 sec.
34183*2^250167-1 is not prime.  LLR Res64: 512E80F5D49ADB55  Time : 61.482 sec.
24523*2^250171-1 is not prime.  LLR Res64: F3BF18F5290CC072  Time : 61.286 sec.
20651*2^250174-1 is not prime.  LLR Res64: 826B781A8BC46938  Time : 61.280 sec.
25061*2^250174-1 is not prime.  LLR Res64: 6CAD2E0E9B6D0944  Time : 61.336 sec.
23437*2^250177-1 is not prime.  LLR Res64: 0655F712037115AD  Time : 61.431 sec.
28177*2^250177-1 is not prime.  LLR Res64: F5E4A555D540EF96  Time : 61.340 sec.
32887*2^250181-1 is not prime.  LLR Res64: D2E63B48CC431D29  Time : 61.223 sec.
33937*2^250181-1 is not prime.  LLR Res64: DC0148FEDE919EE6  Time : 61.305 sec.
32383*2^250183-1 is not prime.  LLR Res64: 3F6B5CECCDAC6F2C  Time : 61.325 sec.
32639*2^250184-1 is not prime.  LLR Res64: D0AB17576780FDC9  Time : 61.491 sec.
19507*2^250185-1 is not prime.  LLR Res64: 67DF081901D1B992  Time : 61.426 sec.
32887*2^250189-1 is not prime.  LLR Res64: 0245A16C08C803B0  Time : 61.318 sec.
19121*2^250190-1 is not prime.  LLR Res64: 88349E004D3D8555  Time : 61.223 sec.
20143*2^250191-1 is not prime.  LLR Res64: 90CD9118274F8654  Time : 61.304 sec.
16447*2^250193-1 is not prime.  LLR Res64: 994F45569DF223CF  Time : 61.315 sec.
20017*2^250193-1 is not prime.  LLR Res64: C74A195692A4C820  Time : 61.452 sec.
33457*2^250193-1 is not prime.  LLR Res64: 9B8DDDD235327834  Time : 61.249 sec.
18727*2^250197-1 is not prime.  LLR Res64: CD5302929B49286A  Time : 61.303 sec.
18869*2^250200-1 is not prime.  LLR Res64: DB69709371C58A1C  Time : 61.350 sec.
24161*2^250202-1 is not prime.  LLR Res64: CC30103F628B3B6D  Time : 61.368 sec.
28723*2^250203-1 is not prime.  LLR Res64: 9DA5022793F3CB4B  Time : 61.580 sec.
31453*2^250203-1 is not prime.  LLR Res64: CAE5E1AF09582906  Time : 61.334 sec.
27997*2^250205-1 is not prime.  LLR Res64: 88FE49F741793C08  Time : 61.236 sec.
16573*2^250215-1 is not prime.  LLR Res64: 2B670418F27452A3  Time : 61.359 sec.
22453*2^250215-1 is not prime.  LLR Res64: 30C598A7207BBABD  Time : 61.552 sec.
32789*2^250216-1 is not prime.  LLR Res64: BD9A7E9B7A0879DC  Time : 61.485 sec.
27899*2^250220-1 is not prime.  LLR Res64: 22584FBA6E4B407F  Time : 61.489 sec.
20651*2^250222-1 is not prime.  LLR Res64: 1D4DDAF93DE2B155  Time : 61.450 sec.
22537*2^250229-1 is not prime.  LLR Res64: 4024CF6683492987  Time : 61.413 sec.
30337*2^250229-1 is not prime.  LLR Res64: CBB2F596CA50A551  Time : 61.247 sec.
18103*2^250231-1 is not prime.  LLR Res64: CE7199FF8D0884A2  Time : 61.298 sec.
18869*2^250232-1 is not prime.  LLR Res64: BCFAADDF9937F81E  Time : 61.373 sec.
33419*2^250232-1 is not prime.  LLR Res64: 9E26504B03C78347  Time : 61.359 sec.
18209*2^250236-1 is not prime.  LLR Res64: 63794BBF4927EF48  Time : 61.321 sec.
16573*2^250239-1 is not prime.  LLR Res64: F5052132A5B8C37A  Time : 61.306 sec.
31453*2^250239-1 is not prime.  LLR Res64: 8BAE97160E2F65D4  Time : 61.534 sec.
16543*2^250243-1 is not prime.  LLR Res64: B8423996212F543A  Time : 61.466 sec.
29983*2^250243-1 is not prime.  LLR Res64: 8C2B67E3EA9E6FF1  Time : 61.379 sec.
22649*2^250248-1 is not prime.  LLR Res64: FD47410C82D21A53  Time : 61.351 sec.
32639*2^250248-1 is not prime.  LLR Res64: 2E04CD49305932B5  Time : 61.355 sec.
22537*2^250253-1 is not prime.  LLR Res64: C3944CB5DB524718  Time : 61.402 sec.
30337*2^250253-1 is not prime.  LLR Res64: 005C21E21A140147  Time : 61.405 sec.
23111*2^250254-1 is not prime.  LLR Res64: DF44D8FCB0ECEF12  Time : 61.288 sec.
18103*2^250255-1 is not prime.  LLR Res64: 0E6CDB5E551905BE  Time : 61.277 sec.
23173*2^250259-1 is not prime.  LLR Res64: 21197306392E6809  Time : 61.338 sec.
20939*2^250260-1 is not prime.  LLR Res64: 9188C1A017D535B3  Time : 61.403 sec.
31627*2^250261-1 is not prime.  LLR Res64: 91ADC698CB8CF917  Time : 61.396 sec.
31109*2^250264-1 is not prime.  LLR Res64: 364E225D9DE1BBF9  Time : 61.372 sec.
28571*2^250266-1 is not prime.  LLR Res64: 7162F9F8CEF269C6  Time : 61.272 sec.
21643*2^250267-1 is not prime.  LLR Res64: DD71E1D09A4B857B  Time : 61.626 sec.
