20145*2^840016-1 is not prime.  LLR Res64: 0B5AE16B95139F9E  Time : 438.645 sec.
23805*2^840016-1 is not prime.  LLR Res64: 9E360D7E1FF86CC7  Time : 439.102 sec.
25077*2^840016-1 is not prime.  LLR Res64: A98706FBAB4CCAC9  Time : 455.542 sec.
28665*2^840016-1 is not prime.  LLR Res64: 9D49227013BD8065  Time : 454.143 sec.
29685*2^840016-1 is not prime.  LLR Res64: 47AE8F9F3246A028  Time : 453.130 sec.
11961*2^840017-1 is not prime.  LLR Res64: EABBB89CC2017890  Time : 439.253 sec.
17295*2^840017-1 is not prime.  LLR Res64: CFD5C0C5B2DE02E2  Time : 438.479 sec.
21885*2^840017-1 is not prime.  LLR Res64: D50F7DB1F7620207  Time : 438.877 sec.
22785*2^840017-1 is not prime.  LLR Res64: 0594919FBFA8BA9C  Time : 439.547 sec.
28215*2^840017-1 is not prime.  LLR Res64: 5C2150F27BBDCF8B  Time : 453.087 sec.
28635*2^840017-1 is not prime.  LLR Res64: ECA4B1E496348020  Time : 455.174 sec.
11655*2^840018-1 is not prime.  LLR Res64: 127115F6BB51D3B2  Time : 438.593 sec.
29445*2^840018-1 is not prime.  LLR Res64: 21C0F0D98216A54D  Time : 454.085 sec.
11655*2^840019-1 is not prime.  LLR Res64: 9D22B5EE1FCC7933  Time : 438.471 sec.
13065*2^840020-1 is not prime.  LLR Res64: 4B75C03F15A2AEB9  Time : 439.073 sec.
18975*2^840020-1 is not prime.  LLR Res64: 727C6C379561EC2D  Time : 439.152 sec.
19635*2^840020-1 is not prime.  LLR Res64: 86BA439A78733CCB  Time : 526.066 sec.
23985*2^840020-1 is not prime.  LLR Res64: 3D3F767407921887  Time : 472.629 sec.
16485*2^840021-1 is not prime.  LLR Res64: 938EA16633930E71  Time : 475.562 sec.
21285*2^840021-1 is not prime.  LLR Res64: 78947874574307B6  Time : 464.367 sec.
28605*2^840021-1 is not prime.  LLR Res64: 3E6414C97EEDEBE8  Time : 453.584 sec.
11961*2^840022-1 is not prime.  LLR Res64: 6F3AC9C1E5F177F9  Time : 438.898 sec.
16887*2^840022-1 is not prime.  LLR Res64: CE2B44A2D0BD426B  Time : 439.282 sec.
21885*2^840022-1 is not prime.  LLR Res64: 2590816BA181A42B  Time : 439.333 sec.
23985*2^840022-1 is not prime.  LLR Res64: 25E3B0F7F78F3534  Time : 439.893 sec.
29025*2^840022-1 is not prime.  LLR Res64: 40722B1B7E80F016  Time : 454.165 sec.
29445*2^840022-1 is not prime.  LLR Res64: 1D5215A9B694A9B3  Time : 455.267 sec.
29925*2^840022-1 is not prime.  LLR Res64: DEC12150CBE25C1F  Time : 510.418 sec.
11655*2^840023-1 is not prime.  LLR Res64: 1FE09000D377BCD0  Time : 438.775 sec.
12045*2^840023-1 is not prime.  LLR Res64: 71E6ABFA9B3C2B51  Time : 439.293 sec.
12753*2^840023-1 is not prime.  LLR Res64: 36E9F25D20C34620  Time : 439.448 sec.
18975*2^840023-1 is not prime.  LLR Res64: 86EE0407DDF0F48F  Time : 440.570 sec.
29445*2^840023-1 is not prime.  LLR Res64: F5F43F0E34F07C30  Time : 454.393 sec.
15645*2^840024-1 is not prime.  LLR Res64: 040D556B43280C9F  Time : 439.790 sec.
16665*2^840024-1 is not prime.  LLR Res64: 034DFC2D8ECCBCE8  Time : 439.891 sec.
20145*2^840024-1 is not prime.  LLR Res64: A82617ADB77BC8F2  Time : 440.670 sec.
21885*2^840024-1 is not prime.  LLR Res64: DFDA385D2BA210A0  Time : 516.649 sec.
22095*2^840024-1 is not prime.  LLR Res64: 7462BCEC4975D7A0  Time : 480.088 sec.
27615*2^840024-1 is not prime.  LLR Res64: 34B313430E2441AC  Time : 487.502 sec.
28215*2^840024-1 is not prime.  LLR Res64: 1E95590D243E1FF6  Time : 487.804 sec.
29685*2^840024-1 is not prime.  LLR Res64: 40F607092D77DFAE  Time : 484.982 sec.
13845*2^840025-1 is not prime.  LLR Res64: 348D5C5DDBC93ACC  Time : 465.130 sec.
16485*2^840025-1 is not prime.  LLR Res64: 91EB890E9DF619CA  Time : 438.438 sec.
19635*2^840025-1 is not prime.  LLR Res64: F9E495DF45D3ED40  Time : 439.671 sec.
22701*2^840025-1 is not prime.  LLR Res64: 5A60ED093FC9DB9E  Time : 438.911 sec.
29445*2^840025-1 is not prime.  LLR Res64: EA4C8252849ED512  Time : 452.956 sec.
13845*2^840026-1 is not prime.  LLR Res64: F7E9FFEC81D8A3A3  Time : 439.110 sec.
19635*2^840026-1 is not prime.  LLR Res64: C59502820D7B891C  Time : 440.056 sec.
22701*2^840026-1 is not prime.  LLR Res64: D0B644488571C632  Time : 439.946 sec.
12045*2^840028-1 is not prime.  LLR Res64: 2FF4E317CECCAFAE  Time : 439.410 sec.
21885*2^840028-1 is not prime.  LLR Res64: 2A94A9226F012E70  Time : 439.116 sec.
25077*2^840028-1 is not prime.  LLR Res64: 8D58E356D6387A4F  Time : 454.268 sec.
28665*2^840028-1 is not prime.  LLR Res64: 7C466970E26AB2AC  Time : 453.104 sec.
16485*2^840029-1 is not prime.  LLR Res64: 5DEEC159BE1902BA  Time : 439.930 sec.
18525*2^840029-1 is not prime.  LLR Res64: 486A97A2F2E58196  Time : 439.363 sec.
21285*2^840029-1 is not prime.  LLR Res64: B05AF0A5A32012E1  Time : 439.754 sec.
25077*2^840029-1 is not prime.  LLR Res64: 43CC452F504DD950  Time : 453.374 sec.
25905*2^840029-1 is not prime.  LLR Res64: 5C630E4AFE0C5738  Time : 455.889 sec.
27615*2^840029-1 is not prime.  LLR Res64: 7CCC10C7BE89913E  Time : 453.866 sec.
28665*2^840029-1 is not prime.  LLR Res64: 1B07B056F5966170  Time : 454.147 sec.
17295*2^840030-1 is not prime.  LLR Res64: 6926AC1D3DB587DB  Time : 440.201 sec.
12753*2^840031-1 is not prime.  LLR Res64: 5C10FD96590D3A42  Time : 439.074 sec.
13845*2^840031-1 is not prime.  LLR Res64: 029A706430BB4AC1  Time : 439.708 sec.
14895*2^840031-1 is not prime.  LLR Res64: 10ACA8532A9B8966  Time : 441.073 sec.
25905*2^840031-1 is not prime.  LLR Res64: BE154996585BDDC5  Time : 453.913 sec.
27615*2^840031-1 is not prime.  LLR Res64: B0FF9F5E83650DF0  Time : 454.362 sec.
13065*2^840032-1 is not prime.  LLR Res64: 8B73AB18BC46EF0A  Time : 440.319 sec.
25077*2^840032-1 is not prime.  LLR Res64: 50504ED75D48A4AE  Time : 453.982 sec.
28665*2^840032-1 is not prime.  LLR Res64: 98EEA52EE06348BF  Time : 453.981 sec.
15645*2^840033-1 is not prime.  LLR Res64: 107954697BE30615  Time : 438.540 sec.
17295*2^840033-1 is not prime.  LLR Res64: 0C75B77A8CE910A4  Time : 439.162 sec.
21285*2^840033-1 is not prime.  LLR Res64: 4F26491335D0B515  Time : 440.015 sec.
11961*2^840034-1 is not prime.  LLR Res64: B6D8F9557A66AD67  Time : 439.525 sec.
20625*2^840034-1 is not prime.  LLR Res64: D72952C6FD0F3867  Time : 441.844 sec.
22701*2^840034-1 is not prime.  LLR Res64: 684C0D04CBED6756  Time : 442.163 sec.
12753*2^840035-1 is not prime.  LLR Res64: 7E94C601EAFBD400  Time : 443.106 sec.
21285*2^840035-1 is not prime.  LLR Res64: 53AD980D9FE6CB7C  Time : 443.241 sec.
29025*2^840035-1 is not prime.  LLR Res64: 5E3C2B8753985E96  Time : 457.589 sec.
29685*2^840035-1 is not prime.  LLR Res64: F5C3603DD7703B9E  Time : 459.933 sec.
16665*2^840036-1 is not prime.  LLR Res64: 77AE23BD60BC6957  Time : 469.985 sec.
18975*2^840036-1 is not prime.  LLR Res64: DB8685A847063140  Time : 461.221 sec.
20625*2^840036-1 is not prime.  LLR Res64: B7007586BD906A6B  Time : 454.298 sec.
25905*2^840036-1 is not prime.  LLR Res64: A2DE276760A986DC  Time : 485.268 sec.
14895*2^840037-1 is not prime.  LLR Res64: AE6D31EFC4C0201F  Time : 450.302 sec.
16485*2^840037-1 is not prime.  LLR Res64: 215BE7E3C92E50F5  Time : 444.443 sec.
21285*2^840038-1 is not prime.  LLR Res64: C0E2E527185B4E5C  Time : 457.902 sec.
23805*2^840038-1 is not prime.  LLR Res64: 68078F2F4E42B249  Time : 457.016 sec.
23985*2^840038-1 is not prime.  LLR Res64: 3EBB3495E9E9B9EF  Time : 459.736 sec.
27615*2^840038-1 is not prime.  LLR Res64: 79E7579A8E7C30EE  Time : 480.812 sec.
29025*2^840039-1 is not prime.  LLR Res64: 46596349ADFA8B7F  Time : 472.484 sec.
29445*2^840039-1 is not prime.  LLR Res64: 2AF8A1D26A9A97C3  Time : 511.908 sec.
18975*2^840040-1 is not prime.  LLR Res64: C4D26A193CE09A05  Time : 466.320 sec.
23295*2^840040-1 is not prime.  LLR Res64: 23E62008CAC24868  Time : 444.268 sec.
27615*2^840040-1 is not prime.  LLR Res64: AEA379BC612AA458  Time : 483.451 sec.
20145*2^840041-1 is not prime.  LLR Res64: 521CDFAF44839C2B  Time : 488.373 sec.
21285*2^840041-1 is not prime.  LLR Res64: B95CFF1012D90810  Time : 450.782 sec.
21525*2^840041-1 is not prime.  LLR Res64: B8569EDB81ACFB10  Time : 466.480 sec.
23805*2^840041-1 is not prime.  LLR Res64: A827967F2F51F997  Time : 499.784 sec.
11961*2^840042-1 is not prime.  LLR Res64: 5F366D6D077DC2C6  Time : 470.994 sec.
12753*2^840042-1 is not prime.  LLR Res64: F406680CAA3EAB66  Time : 442.615 sec.
18975*2^840042-1 is not prime.  LLR Res64: E015125C8320010F  Time : 468.997 sec.
20625*2^840042-1 is not prime.  LLR Res64: 4469BC81F429970A  Time : 475.659 sec.
25905*2^840042-1 is not prime.  LLR Res64: 122197E1A2894E62  Time : 484.374 sec.
29025*2^840042-1 is not prime.  LLR Res64: 57B5544044119121  Time : 454.877 sec.
18975*2^840043-1 is not prime.  LLR Res64: F76E89D4D75022C4  Time : 442.148 sec.
20145*2^840043-1 is not prime.  LLR Res64: 49EF342DF44E2C9E  Time : 464.896 sec.
21825*2^840043-1 is not prime.  LLR Res64: 423749D16C31FA10  Time : 477.073 sec.
22701*2^840043-1 is not prime.  LLR Res64: D16A863D1DC53C34  Time : 475.733 sec.
22785*2^840043-1 is not prime.  LLR Res64: F3358FA6E6264C58  Time : 473.650 sec.
14895*2^840044-1 is not prime.  LLR Res64: C74E21146D1F4387  Time : 472.398 sec.
23805*2^840044-1 is not prime.  LLR Res64: 32A230A88AA78849  Time : 473.774 sec.
29685*2^840044-1 is not prime.  LLR Res64: 430272F2AF3D6592  Time : 487.902 sec.
11655*2^840045-1 is not prime.  LLR Res64: 712E7F7F4C65E0B5  Time : 470.567 sec.
20625*2^840045-1 is not prime.  LLR Res64: 5D11394FD9D456AA  Time : 483.474 sec.
22365*2^840045-1 is not prime.  LLR Res64: 555A2981955AF75A  Time : 439.759 sec.
26829*2^840045-1 is not prime.  LLR Res64: 03362F2084BE6ADC  Time : 454.818 sec.
22095*2^840046-1 is not prime.  LLR Res64: E184B9D9EC3F5FD9  Time : 440.038 sec.
25077*2^840046-1 is not prime.  LLR Res64: 764ECB641EA7CE9F  Time : 454.148 sec.
28605*2^840047-1 is not prime.  LLR Res64: 55214126E2AFE166  Time : 465.987 sec.
28665*2^840047-1 is not prime.  LLR Res64: 0CB3F62FC0EEB8B3  Time : 491.286 sec.
16665*2^840048-1 is not prime.  LLR Res64: EA21B185BB45F09D  Time : 473.914 sec.
18975*2^840048-1 is not prime.  LLR Res64: 5AA1160D18A9B8D7  Time : 440.893 sec.
21825*2^840048-1 is not prime.  LLR Res64: CF78F74D6F4B4547  Time : 468.048 sec.
28215*2^840048-1 is not prime.  LLR Res64: A37792481EB81A66  Time : 495.816 sec.
29685*2^840048-1 is not prime.  LLR Res64: 86E3D2516A699649  Time : 492.668 sec.
20145*2^840049-1 is not prime.  LLR Res64: 2405572D56CCFDBE  Time : 470.900 sec.
21285*2^840049-1 is not prime.  LLR Res64: 6CED5DD2EAC7C6AA  Time : 475.468 sec.
22785*2^840049-1 is not prime.  LLR Res64: 8549E9C4A17C4D46  Time : 470.366 sec.
25077*2^840049-1 is not prime.  LLR Res64: D7B0CC5E7323EC03  Time : 492.009 sec.
28665*2^840049-1 is not prime.  LLR Res64: F030D392AE1DA5C3  Time : 472.432 sec.
13845*2^840050-1 is not prime.  LLR Res64: E8BA6E5F6A8914D8  Time : 444.465 sec.
21885*2^840050-1 is not prime.  LLR Res64: 423073F84626F823  Time : 473.187 sec.
25905*2^840050-1 is not prime.  LLR Res64: 0D8570A763B0BA31  Time : 486.836 sec.
28215*2^840050-1 is not prime.  LLR Res64: A2A508D531131BA2  Time : 488.963 sec.
29025*2^840050-1 is not prime.  LLR Res64: 2AAC88DE5A7581CE  Time : 494.305 sec.
18525*2^840051-1 is not prime.  LLR Res64: 7A868A1CD2506971  Time : 474.757 sec.
22095*2^840051-1 is not prime.  LLR Res64: FE8D07694E3A5701  Time : 480.876 sec.
22785*2^840051-1 is not prime.  LLR Res64: 2332416A8A552284  Time : 466.821 sec.
29445*2^840051-1 is not prime.  LLR Res64: 3BE001380295E453  Time : 514.721 sec.
29925*2^840051-1 is not prime.  LLR Res64: 74DEF4B9E797D020  Time : 558.466 sec.
29685*2^840052-1 is not prime.  LLR Res64: 83D19C779A7822B0  Time : 493.559 sec.
17295*2^840053-1 is not prime.  LLR Res64: 10C23333DA22CB4B  Time : 499.290 sec.
