22785*2^10016-1 is not prime.  LLR Res64: 0F3CFA0486863B9A  Time : 147.947 ms.
28635*2^10016-1 is not prime.  LLR Res64: F98B9C3118E00530  Time : 142.305 ms.
29025*2^10016-1 is not prime.  LLR Res64: D4FC91F27CE61885  Time : 138.886 ms.
29685*2^10016-1 is not prime.  LLR Res64: 68E042BD0A79856B  Time : 139.772 ms.
16485*2^10017-1 is not prime.  LLR Res64: 578A5C1941D2750F  Time : 141.845 ms.
17295*2^10017-1 is not prime.  LLR Res64: 7994845871031D10  Time : 139.080 ms.
22365*2^10017-1 is not prime.  LLR Res64: B9771D08F16C8C3E  Time : 138.926 ms.
29685*2^10017-1 is not prime.  LLR Res64: 7090E2228E33A888  Time : 138.713 ms.
18525*2^10018-1 is not prime.  LLR Res64: 653A71A02E1A9A3A  Time : 142.377 ms.
23985*2^10018-1 is not prime.  LLR Res64: EB5F86B61C8CEF53  Time : 146.472 ms.
25905*2^10018-1 is not prime.  LLR Res64: E435DC6787D261E8  Time : 155.147 ms.
28635*2^10018-1 is not prime.  LLR Res64: B1775D9D5DDEB1F0  Time : 139.579 ms.
18975*2^10020-1 is not prime.  LLR Res64: C57C6366AF52BE5B  Time : 142.472 ms.
16485*2^10021-1 is not prime.  LLR Res64: 06A94FB7BFED4ADF  Time : 137.733 ms.
22701*2^10021-1 is not prime.  LLR Res64: C2D659F7C9A080EC  Time : 123.488 ms.
26829*2^10021-1 is not prime.  LLR Res64: 4A8B2B31A582ADAD  Time : 131.170 ms.
18525*2^10022-1 is not prime.  LLR Res64: BF8128E60C7CB953  Time : 157.177 ms.
18975*2^10022-1 is not prime.  LLR Res64: D36A53FCF3C0D319  Time : 138.706 ms.
22365*2^10022-1 is not prime.  LLR Res64: 54935FF3031AD2B7  Time : 140.166 ms.
22701*2^10022-1 is not prime.  LLR Res64: 6AB7091D45CA8826  Time : 139.567 ms.
29025*2^10022-1 is not prime.  LLR Res64: 16CF04AC340DCA53  Time : 141.423 ms.
29925*2^10022-1 is not prime.  LLR Res64: C2D0DC92CB8702ED  Time : 137.725 ms.
18975*2^10023-1 is not prime.  LLR Res64: 37794D62B8C4DFBE  Time : 157.449 ms.
20145*2^10023-1 is not prime.  LLR Res64: 5CA6691E0B30C417  Time : 154.827 ms.
26829*2^10023-1 is not prime.  LLR Res64: 45829E4BB5601ED1  Time : 133.739 ms.
28665*2^10023-1 is not prime.  LLR Res64: 618304C50A985BD7  Time : 122.152 ms.
17295*2^10024-1 is not prime.  LLR Res64: E3D0411C22BB8247  Time : 148.010 ms.
20625*2^10024-1 is not prime.  LLR Res64: 3D9F0D7859CA9A98  Time : 139.808 ms.
26829*2^10024-1 is not prime.  LLR Res64: 05FDD7A533F395BE  Time : 139.506 ms.
18975*2^10025-1 is not prime.  LLR Res64: C9830E870BD9DFEF  Time : 139.670 ms.
22095*2^10025-1 is not prime.  LLR Res64: D835BC7DD06C7BEE  Time : 139.693 ms.
23805*2^10025-1 is not prime.  LLR Res64: 4FF9419EA70C6369  Time : 139.865 ms.
23985*2^10025-1 is not prime.  LLR Res64: 73717DF91CEDCA86  Time : 139.422 ms.
29445*2^10025-1 is not prime.  LLR Res64: B52B02A2B2113489  Time : 139.774 ms.
29925*2^10025-1 is not prime.  LLR Res64: EE312A81D93558E7  Time : 131.542 ms.
21825*2^10026-1 is not prime.  LLR Res64: D7CEED9E3A6A3A8A  Time : 122.278 ms.
21285*2^10027-1 is not prime.  LLR Res64: 6101C4EB17DD2014  Time : 124.322 ms.
23805*2^10027-1 is not prime.  LLR Res64: A6888D7CB899896A  Time : 123.480 ms.
27615*2^10027-1 is not prime.  LLR Res64: 7F70625AA6FDD2EF  Time : 139.510 ms.
28635*2^10027-1 is not prime.  LLR Res64: 5036A43EC762FF65  Time : 139.433 ms.
16485*2^10028-1 is not prime.  LLR Res64: ACDF4D8C07F687C3  Time : 139.552 ms.
29025*2^10028-1 is not prime.  LLR Res64: 0D175244FEFCD3F9  Time : 139.922 ms.
29685*2^10028-1 is not prime.  LLR Res64: 8C33A35851CC71F7  Time : 139.583 ms.
29925*2^10028-1 is not prime.  LLR Res64: 4403D7881A7C5CD7  Time : 140.167 ms.
22785*2^10029-1 is not prime.  LLR Res64: 6A5475E3F40734D8  Time : 158.353 ms.
25077*2^10029-1 is not prime.  LLR Res64: 9A4BA0490F318513  Time : 142.866 ms.
26829*2^10029-1 is not prime.  LLR Res64: E45A1EB5BADAF2F7  Time : 143.285 ms.
27615*2^10029-1 is not prime.  LLR Res64: AA105966D47ABCD7  Time : 139.296 ms.
28605*2^10029-1 is not prime.  LLR Res64: 3230D88554F53610  Time : 139.759 ms.
18975*2^10030-1 is not prime.  LLR Res64: C893CAEE2D452270  Time : 140.190 ms.
25905*2^10030-1 is not prime.  LLR Res64: 5F0A7AAAA08D76D8  Time : 156.470 ms.
20145*2^10031-1 is not prime.  LLR Res64: 0754E988400F4E42  Time : 157.658 ms.
22095*2^10032-1 is not prime.  LLR Res64: 936DE3674A82E96D  Time : 164.388 ms.
16665*2^10033-1 is not prime.  LLR Res64: E001773F9CDA7442  Time : 154.752 ms.
16665*2^10034-1 is not prime.  LLR Res64: 048CBE4D6E5F7613  Time : 140.661 ms.
18525*2^10035-1 is not prime.  LLR Res64: A38AEB490D738DD1  Time : 139.665 ms.
22095*2^10035-1 is not prime.  LLR Res64: E1DF0997F607EEC2  Time : 141.648 ms.
16887*2^10036-1 is not prime.  LLR Res64: 1C939E833D2CE70C  Time : 140.176 ms.
21285*2^10036-1 is not prime.  LLR Res64: 93A28B7AC3F203FE  Time : 146.173 ms.
22095*2^10036-1 is not prime.  LLR Res64: A8B8113B170E89EB  Time : 139.020 ms.
16665*2^10037-1 is not prime.  LLR Res64: 49A6691A3F0E97C7  Time : 158.577 ms.
22095*2^10037-1 is not prime.  LLR Res64: 7D06C4B8087B525D  Time : 138.983 ms.
29925*2^10037-1 is not prime.  LLR Res64: 01BA226C850B7562  Time : 148.108 ms.
25077*2^10038-1 is not prime.  LLR Res64: 3935599EE4ADD10D  Time : 143.133 ms.
21285*2^10039-1 is not prime.  LLR Res64: 2BCC65F497675F78  Time : 128.589 ms.
26829*2^10039-1 is not prime.  LLR Res64: D4C35D64C6150AC9  Time : 131.352 ms.
29445*2^10039-1 is not prime.  LLR Res64: 9F4A68189E8DDD69  Time : 130.836 ms.
22365*2^10040-1 is not prime.  LLR Res64: 64070F68ABF69567  Time : 130.954 ms.
28635*2^10040-1 is not prime.  LLR Res64: 84810C29ED1F7181  Time : 139.983 ms.
16485*2^10041-1 is not prime.  LLR Res64: A1B50AC4353A3024  Time : 139.627 ms.
20625*2^10041-1 is not prime.  LLR Res64: CA7B7E70E8620117  Time : 139.639 ms.
28635*2^10041-1 is not prime.  LLR Res64: 78F09999D6666FC6  Time : 139.959 ms.
29445*2^10041-1 is not prime.  LLR Res64: 1A1728EC5CCA040E  Time : 141.217 ms.
20145*2^10042-1 is not prime.  LLR Res64: 87A65A1BC37E634A  Time : 140.020 ms.
20625*2^10042-1 is not prime.  LLR Res64: 72B51A298722C913  Time : 138.654 ms.
21525*2^10042-1 is not prime.  LLR Res64: E25399AC9D3FF6F1  Time : 140.577 ms.
29685*2^10042-1 is not prime.  LLR Res64: 01B1F0EF09A125ED  Time : 122.310 ms.
18525*2^10043-1 is not prime.  LLR Res64: 490113DB11E666B6  Time : 131.043 ms.
19635*2^10043-1 is not prime.  LLR Res64: 1AC4B831E695CB98  Time : 123.294 ms.
28215*2^10043-1 is not prime.  LLR Res64: E11519D6BECBF0BF  Time : 131.297 ms.
22365*2^10044-1 is not prime.  LLR Res64: 5F764C5C6A9A2A6B  Time : 139.641 ms.
27615*2^10044-1 is not prime.  LLR Res64: AF9B3D4504077110  Time : 139.461 ms.
28215*2^10044-1 is not prime.  LLR Res64: E629D7811F23A514  Time : 139.726 ms.
28665*2^10044-1 is not prime.  LLR Res64: 6D8B6FF52F49CEA5  Time : 143.105 ms.
17295*2^10045-1 is not prime.  LLR Res64: AEF552686C18E7ED  Time : 155.212 ms.
19635*2^10045-1 is not prime.  LLR Res64: 30638A8B59950226  Time : 147.065 ms.
20145*2^10045-1 is not prime.  LLR Res64: 2668926D0BA75A5E  Time : 132.411 ms.
21285*2^10045-1 is not prime.  LLR Res64: 5D6C422F64F46D98  Time : 122.056 ms.
22701*2^10045-1 is not prime.  LLR Res64: 3E160ED389B79116  Time : 131.428 ms.
23805*2^10045-1 is not prime.  LLR Res64: AA81FCDBDD887CC5  Time : 123.175 ms.
25077*2^10045-1 is not prime.  LLR Res64: 8C5C090CF1C7EEA8  Time : 123.264 ms.
