28665*2^20020-1 is not prime.  LLR Res64: 9F75705470142CC7  Time : 388.587 ms.
20145*2^20021-1 is not prime.  LLR Res64: F723DC8F745DFA54  Time : 404.524 ms.
22095*2^20021-1 is not prime.  LLR Res64: E0ACBE74F64E235C  Time : 392.653 ms.
22365*2^20021-1 is not prime.  LLR Res64: 0E2FC5A6AA58BCB8  Time : 382.361 ms.
26829*2^20021-1 is not prime.  LLR Res64: 6817B5078C164FBE  Time : 405.245 ms.
28215*2^20021-1 is not prime.  LLR Res64: 2EB09A51F878FC27  Time : 386.038 ms.
18525*2^20022-1 is not prime.  LLR Res64: 4EC354FD3B94193D  Time : 379.550 ms.
21885*2^20022-1 is not prime.  LLR Res64: 75B4814633304C90  Time : 378.970 ms.
22095*2^20022-1 is not prime.  LLR Res64: CAA54E00B7CD0164  Time : 381.094 ms.
27615*2^20022-1 is not prime.  LLR Res64: 69EB1D438304522D  Time : 388.177 ms.
28665*2^20022-1 is not prime.  LLR Res64: F854D828AD17FCB0  Time : 378.865 ms.
29445*2^20022-1 is not prime.  LLR Res64: C3567543EDA82BDB  Time : 389.600 ms.
25077*2^20024-1 is not prime.  LLR Res64: D3ED84EB717C73B1  Time : 386.352 ms.
29025*2^20024-1 is not prime.  LLR Res64: 757AFF562AAC4C82  Time : 405.750 ms.
17295*2^20025-1 is not prime.  LLR Res64: F97D7C152A5BEE1E  Time : 394.831 ms.
19635*2^20025-1 is not prime.  LLR Res64: EDF043901ECD40AC  Time : 387.317 ms.
21525*2^20025-1 is not prime.  LLR Res64: 235B2345FC9B5300  Time : 380.485 ms.
21885*2^20025-1 is not prime.  LLR Res64: 5AEFEC43073362D3  Time : 387.068 ms.
22365*2^20025-1 is not prime.  LLR Res64: A36488160888CC36  Time : 387.175 ms.
22701*2^20025-1 is not prime.  LLR Res64: 1A3E4041C3DF1E65  Time : 390.948 ms.
23295*2^20025-1 is not prime.  LLR Res64: 5F1DD518368C6880  Time : 368.606 ms.
20145*2^20026-1 is not prime.  LLR Res64: 73D38F0505ABEFA5  Time : 371.913 ms.
22701*2^20026-1 is not prime.  LLR Res64: C1E8BC00DFFFD128  Time : 395.714 ms.
25905*2^20026-1 is not prime.  LLR Res64: ED31136ABD782FEA  Time : 379.980 ms.
17295*2^20027-1 is not prime.  LLR Res64: 18064C49B651472D  Time : 395.425 ms.
29925*2^20027-1 is not prime.  LLR Res64: CBEFB8A2443EA07E  Time : 388.918 ms.
23805*2^20028-1 is not prime.  LLR Res64: D5599A61ED8A39A5  Time : 386.483 ms.
