28605*2^40020-1 is not prime.  LLR Res64: DA7A9B1570D472EB  Time : 1.467 sec.
29925*2^40020-1 is not prime.  LLR Res64: 276B347768964829  Time : 1.474 sec.
21285*2^40021-1 is not prime.  LLR Res64: EDC0DB3E7AD4B031  Time : 1.470 sec.
23985*2^40021-1 is not prime.  LLR Res64: 1156EBB19E51D502  Time : 1.456 sec.
25077*2^40021-1 is not prime.  LLR Res64: 9E971233B07AD70A  Time : 1.468 sec.
28605*2^40021-1 is not prime.  LLR Res64: 7324645A3D52DA75  Time : 1.457 sec.
28665*2^40021-1 is not prime.  LLR Res64: 0D175F537041F850  Time : 1.465 sec.
16887*2^40022-1 is not prime.  LLR Res64: F5C6F8CEB6C4D04F  Time : 1.467 sec.
21825*2^40022-1 is not prime.  LLR Res64: A615AB2DD3C70B50  Time : 1.459 sec.
22365*2^40022-1 is not prime.  LLR Res64: A03D170868C2DB67  Time : 1.468 sec.
25905*2^40022-1 is not prime.  LLR Res64: C5C85EF706906BA0  Time : 1.477 sec.
29685*2^40022-1 is not prime.  LLR Res64: 9E675C35A81239AD  Time : 1.471 sec.
21525*2^40023-1 is not prime.  LLR Res64: C26C0584478BAF44  Time : 1.472 sec.
21825*2^40023-1 is not prime.  LLR Res64: C243C095B2DCC91A  Time : 1.466 sec.
20145*2^40024-1 is not prime.  LLR Res64: 0D5BBAAC530D0072  Time : 1.467 sec.
20625*2^40025-1 is not prime.  LLR Res64: CA6C5FDE83759A71  Time : 1.482 sec.
22701*2^40025-1 is not prime.  LLR Res64: 39FC37508AEE5EF0  Time : 1.467 sec.
16485*2^40026-1 is not prime.  LLR Res64: 656B7C6B86DE8A0A  Time : 1.470 sec.
22095*2^40027-1 is not prime.  LLR Res64: 46C5661B9ADF9DB4  Time : 1.465 sec.
22365*2^40027-1 is not prime.  LLR Res64: BC552AE7A1E90BD9  Time : 1.462 sec.
28215*2^40027-1 is not prime.  LLR Res64: BCB5A5378EB9BEDF  Time : 1.467 sec.
21285*2^40028-1 is not prime.  LLR Res64: D604699DF751FC1B  Time : 1.466 sec.
28605*2^40028-1 is not prime.  LLR Res64: AD6076DBE4D836A2  Time : 1.468 sec.
29025*2^40028-1 is not prime.  LLR Res64: 3168CA12ECBE2E01  Time : 1.467 sec.
25077*2^40029-1 is not prime.  LLR Res64: 08DB14F4B9331D5A  Time : 1.465 sec.
29925*2^40029-1 is not prime.  LLR Res64: A31FA5D22A3C097E  Time : 1.468 sec.
21525*2^40030-1 is not prime.  LLR Res64: FE8A08D0BF429772  Time : 1.466 sec.
22365*2^40030-1 is not prime.  LLR Res64: 7688FDCAFE904EB6  Time : 1.466 sec.
23295*2^40030-1 is not prime.  LLR Res64: 9B577BD2250A6CB2  Time : 1.468 sec.
29445*2^40030-1 is not prime.  LLR Res64: 6D210667A936632D  Time : 1.465 sec.
29925*2^40030-1 is not prime.  LLR Res64: E14C1E397857B24B  Time : 1.467 sec.
17295*2^40031-1 is not prime.  LLR Res64: 0EE5B5106EDC5B09  Time : 1.465 sec.
19635*2^40032-1 is not prime.  LLR Res64: AB6271CDA60A1923  Time : 1.464 sec.
21825*2^40032-1 is not prime.  LLR Res64: 0E04370EAE7093E5  Time : 1.465 sec.
22095*2^40032-1 is not prime.  LLR Res64: 09BA2AC238A60A21  Time : 1.470 sec.
